"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1496","Registration with correct email, username and password","LMS system","Thu Feb 12 10:11:58 UTC 2026","passed","Thu Feb 12 10:12:00 UTC 2026","Registration","Authentication","",""
"","1253","Check displaying of empty courses list","LMS system","Thu Feb 12 10:12:02 UTC 2026","passed","Thu Feb 12 10:12:03 UTC 2026","Courses","Courses","",""
"","1993","User login with wrong email or password","LMS system","Thu Feb 12 10:11:40 UTC 2026","passed","Thu Feb 12 10:11:42 UTC 2026","Authorization","Authentication","",""
"","2222","Edit course","LMS system","Thu Feb 12 10:12:10 UTC 2026","passed","Thu Feb 12 10:12:13 UTC 2026","Courses","Courses","",""
"","1672","Registration with correct email, username and password","LMS system","Thu Feb 12 10:12:00 UTC 2026","passed","Thu Feb 12 10:12:02 UTC 2026","Registration","Authentication","",""
"","1631","Registration with correct email, username and password","LMS system","Thu Feb 12 10:11:56 UTC 2026","passed","Thu Feb 12 10:11:58 UTC 2026","Registration","Authentication","",""
"","1423","User login with wrong email or password","LMS system","Thu Feb 12 10:11:47 UTC 2026","passed","Thu Feb 12 10:11:49 UTC 2026","Authorization","Authentication","",""
"","2439","User login with correct email and password","LMS system","Thu Feb 12 10:11:47 UTC 2026","passed","Thu Feb 12 10:11:49 UTC 2026","Authorization","Authentication","",""
"","2372","User login with correct email and password","LMS system","Thu Feb 12 10:11:55 UTC 2026","passed","Thu Feb 12 10:11:58 UTC 2026","Authorization","Authentication","",""
"","1385","User login with wrong email or password","LMS system","Thu Feb 12 10:11:39 UTC 2026","passed","Thu Feb 12 10:11:40 UTC 2026","Authorization","Authentication","",""
"","1345","Check displaying of dashboard page","LMS system","Thu Feb 12 10:12:19 UTC 2026","passed","Thu Feb 12 10:12:21 UTC 2026","Dashboard","Dashboard","",""
"","2317","User login with correct email and password","LMS system","Thu Feb 12 10:11:53 UTC 2026","passed","Thu Feb 12 10:11:55 UTC 2026","Authorization","Authentication","",""
"","2676","Edit course","LMS system","Thu Feb 12 10:12:14 UTC 2026","passed","Thu Feb 12 10:12:17 UTC 2026","Courses","Courses","",""
"","1169","User login with wrong email or password","LMS system","Thu Feb 12 10:11:40 UTC 2026","passed","Thu Feb 12 10:11:41 UTC 2026","Authorization","Authentication","",""
"","1297","Check displaying of empty courses list","LMS system","Thu Feb 12 10:12:05 UTC 2026","passed","Thu Feb 12 10:12:06 UTC 2026","Courses","Courses","",""
"","1419","Check displaying of empty courses list","LMS system","Thu Feb 12 10:12:04 UTC 2026","passed","Thu Feb 12 10:12:05 UTC 2026","Courses","Courses","",""
"","2098","Create course","LMS system","Thu Feb 12 10:12:06 UTC 2026","passed","Thu Feb 12 10:12:08 UTC 2026","Courses","Courses","",""
"","1320","User login with wrong email or password","LMS system","Thu Feb 12 10:11:44 UTC 2026","passed","Thu Feb 12 10:11:46 UTC 2026","Authorization","Authentication","",""
"","1496","Check displaying of dashboard page","LMS system","Thu Feb 12 10:12:16 UTC 2026","passed","Thu Feb 12 10:12:18 UTC 2026","Dashboard","Dashboard","",""
"","1237","Navigation from login page to registration page","LMS system","Thu Feb 12 10:11:52 UTC 2026","passed","Thu Feb 12 10:11:53 UTC 2026","Authorization","Authentication","",""
"","1398","User login with wrong email or password","LMS system","Thu Feb 12 10:11:44 UTC 2026","passed","Thu Feb 12 10:11:45 UTC 2026","Authorization","Authentication","",""
"","2400","Create course","LMS system","Thu Feb 12 10:12:08 UTC 2026","passed","Thu Feb 12 10:12:10 UTC 2026","Courses","Courses","",""
"","1359","User login with wrong email or password","LMS system","Thu Feb 12 10:11:43 UTC 2026","passed","Thu Feb 12 10:11:44 UTC 2026","Authorization","Authentication","",""
"","2272","Create course","LMS system","Thu Feb 12 10:12:10 UTC 2026","passed","Thu Feb 12 10:12:12 UTC 2026","Courses","Courses","",""
"","2845","Edit course","LMS system","Thu Feb 12 10:12:13 UTC 2026","passed","Thu Feb 12 10:12:16 UTC 2026","Courses","Courses","",""
"","1279","User login with wrong email or password","LMS system","Thu Feb 12 10:11:42 UTC 2026","passed","Thu Feb 12 10:11:43 UTC 2026","Authorization","Authentication","",""
"","1335","User login with wrong email or password","LMS system","Thu Feb 12 10:11:51 UTC 2026","passed","Thu Feb 12 10:11:52 UTC 2026","Authorization","Authentication","",""
"","1400","Navigation from login page to registration page","LMS system","Thu Feb 12 10:11:54 UTC 2026","passed","Thu Feb 12 10:11:56 UTC 2026","Authorization","Authentication","",""
"","1683","Check displaying of dashboard page","LMS system","Thu Feb 12 10:12:18 UTC 2026","passed","Thu Feb 12 10:12:20 UTC 2026","Dashboard","Dashboard","",""
"","1299","Navigation from login page to registration page","LMS system","Thu Feb 12 10:11:50 UTC 2026","passed","Thu Feb 12 10:11:51 UTC 2026","Authorization","Authentication","",""
